顾客ID,产品ID,产品名称,数量,价格,购买日期,总价
218,42,家具,6,10.0,2024-10-20,60
822,61,百货,1,1.0,2024-10-20,1
800,95,服装,7,42.0,2024-07-29,294
533,68,服装,9,60.0,2024-04-07,540
21,93,百货,8,62.0,2024-09-24,496
368,18,电器,10,70.0,2024-12-08,700
498,56,家具,7,77.0,2024-12-13,539
29,29,服装,5,67.0,2024-05-23,335
7,35,百货,3,12.0,2024-07-19,36
65,78,百货,9,55.0,2024-07-11,495
103,5,服装,2,47.0,2024-11-06,94
856,77,食品,4,65.0,2024-08-24,260
777,68,水果,7,79.0,2024-05-07,553
418,17,百货,1,9.0,2024-02-21,9
150,52,电器,2,10.0,2024-04-13,20
462,13,百货,10,21.0,2024-08-26,210
97,18,家具,4,76.0,2024-11-18,304
592,32,食品,1,71.0,2024-10-29,71
569,78,食品,1,43.0,2025-01-26,43
314,52,水果,7,41.0,2024-12-17,287
779,57,百货,8,4.0,2024-06-04,32
293,27,电器,8,38.0,2024-06-08,304
319,7,电器,10,48.0,2024-04-23,480
514,89,食品,2,7.0,2024-10-17,14
977,26,水果,4,74.0,2024-07-08,296
318,69,家具,5,50.0,2024-06-11,250
600,43,水果,6,48.0,2024-11-08,288
866,15,电器,10,23.0,2024-09-07,230
590,13,服装,5,87.0,2024-12-10,435
111,16,水果,9,2.0,2024-06-03,18
666,40,家具,1,72.0,2024-06-18,72
224,25,百货,5,98.0,2024-05-23,490
180,60,百货,7,23.0,2024-12-05,161
337,77,水果,9,38.0,2024-12-14,342
577,79,电器,6,62.0,2024-07-20,372
109,13,食品,2,24.0,2024-10-26,48
325,64,水果,7,77.0,2024-06-14,539
284,8,水果,3,52.0,2024-12-28,156
904,23,食品,1,36.0,2024-12-06,36
788,18,百货,9,70.0,2024-08-24,630
203,72,食品,2,84.0,2024-04-23,168
525,85,食品,5,74.0,2024-03-19,370
138,85,食品,9,23.0,2024-09-29,207
47,97,百货,10,92.0,2024-04-13,920
712,61,食品,8,13.0,2025-02-02,104
920,72,电器,2,68.0,2024-05-25,136
490,30,电器,1,54.0,2024-12-17,54
506,62,电器,3,15.0,2024-06-14,45
722,40,家具,1,96.0,2024-09-04,96
133,58,百货,1,25.0,2024-11-03,25
566,86,食品,3,66.0,2024-08-22,198
322,86,百货,1,50.0,2024-07-31,50
679,48,食品,4,25.0,2024-05-24,100
771,86,百货,5,9.0,2024-06-07,45
598,93,食品,10,62.0,2024-11-14,620
44,18,水果,9,42.0,2024-12-04,378
107,70,水果,2,100.0,2024-11-12,200
428,66,百货,1,5.0,2024-02-15,5
782,23,服装,8,60.0,2024-04-04,480
994,31,食品,2,32.0,2024-10-11,64
880,56,食品,4,70.0,2024-10-27,280
46,41,百货,9,74.0,2024-11-23,666
948,13,家具,4,56.0,2024-05-13,224
468,12,电器,2,6.0,2024-07-08,12
902,32,水果,5,77.0,2025-01-17,385
552,48,水果,10,92.0,2024-02-14,920
625,32,家具,3,75.0,2024-10-30,225
128,37,水果,1,44.0,2025-02-10,44
460,49,电器,6,78.0,2024-11-03,468
87,29,水果,8,49.0,2024-08-05,392
842,53,百货,3,49.0,2024-08-19,147
638,18,水果,10,91.0,2024-06-19,910
474,6,百货,7,46.0,2024-03-10,322
474,93,服装,4,82.0,2024-10-05,328
285,75,食品,8,3.0,2025-02-06,24
133,9,家具,8,42.0,2024-07-29,336
234,1,食品,9,7.0,2024-04-30,63
764,17,食品,7,19.0,2024-07-30,133
203,43,食品,10,7.0,2024-08-10,70
417,65,服装,6,50.0,2024-12-17,300
405,70,服装,10,58.0,2025-01-25,580
544,47,百货,2,53.0,2024-12-01,106
793,84,家具,6,1.0,2024-04-27,6
930,50,百货,10,77.0,2024-06-19,770
302,36,水果,6,31.0,2024-08-23,186
568,4,家具,4,45.0,2024-07-21,180
775,20,电器,1,61.0,2024-04-29,61
632,40,电器,3,8.0,2024-09-26,24
318,89,水果,2,1.0,2024-02-19,2
520,76,百货,5,61.0,2024-11-22,305
830,27,百货,4,95.0,2024-08-01,380
800,49,家具,1,72.0,2024-03-27,72
838,52,家具,6,23.0,2024-04-30,138
770,80,电器,10,76.0,2024-06-19,760
32,15,食品,5,97.0,2024-05-11,485
327,82,服装,1,6.0,2024-07-08,6
696,97,食品,5,24.0,2025-02-03,120
753,47,家具,6,2.0,2024-09-07,12
823,30,水果,7,68.0,2024-07-17,476
815,97,百货,5,26.0,2024-09-24,130
157,63,服装,3,42.0,2024-12-16,126
175,39,水果,8,5.0,2024-05-02,40
856,11,食品,4,81.0,2025-01-04,324
276,15,百货,9,29.0,2024-02-17,261
234,90,家具,7,38.0,2024-02-15,266
384,34,服装,4,85.0,2024-11-20,340
533,38,电器,3,57.0,2024-07-07,171
791,90,水果,1,38.0,2024-12-29,38
423,28,水果,6,79.0,2024-09-19,474
283,81,百货,8,34.0,2024-09-15,272
974,21,家具,1,79.0,2024-08-21,79
894,49,服装,5,53.0,2024-05-11,265
185,18,百货,2,89.0,2024-03-31,178
805,49,电器,5,74.0,2024-11-09,370
527,19,家具,9,79.0,2024-11-14,711
199,83,水果,1,45.0,2024-04-01,45
335,88,服装,8,69.0,2024-05-29,552
823,75,食品,10,89.0,2024-04-10,890
786,90,家具,2,77.0,2024-11-05,154
449,17,百货,2,53.0,2025-02-10,106
807,58,百货,9,10.0,2024-03-11,90
629,23,家具,10,53.0,2024-04-18,530
302,25,水果,2,80.0,2024-10-05,160
199,62,电器,2,82.0,2024-10-15,164
905,35,水果,5,71.0,2024-11-30,355
425,44,家具,2,79.0,2024-11-08,158
830,74,百货,3,35.0,2025-02-07,105
662,81,服装,8,48.0,2024-10-10,384
988,58,服装,9,60.0,2024-11-17,540
80,46,百货,2,95.0,2024-09-26,190
257,73,家具,7,7.0,2024-11-03,49
281,53,水果,5,61.0,2024-03-21,305
812,91,食品,9,30.0,2024-04-24,270
274,91,电器,3,49.0,2024-07-15,147
602,85,水果,9,100.0,2024-03-23,900
477,5,水果,2,93.0,2025-01-06,186
71,11,家具,9,44.0,2024-12-01,396
681,78,百货,3,93.0,2024-07-03,279
719,56,水果,7,88.0,2024-02-12,616
204,67,食品,1,84.0,2025-02-06,84
441,78,百货,1,83.0,2024-03-19,83
871,26,电器,6,79.0,2024-10-11,474
559,44,电器,2,97.0,2024-11-04,194
23,72,电器,2,6.0,2024-09-10,12
621,26,水果,4,54.0,2024-10-17,216
225,46,家具,2,43.0,2024-03-18,86
434,90,食品,7,26.0,2024-12-17,182
464,85,服装,6,41.0,2024-10-15,246
412,54,家具,1,92.0,2024-06-22,92
917,54,水果,9,52.0,2024-04-02,468
977,77,电器,6,49.0,2024-09-11,294
520,18,服装,10,93.0,2024-07-06,930
347,9,家具,6,89.0,2024-11-24,534
967,12,家具,8,76.0,2024-05-07,608
368,79,家具,7,27.0,2024-05-13,189
141,49,水果,9,84.0,2024-06-24,756
303,29,电器,5,47.0,2024-06-02,235
922,26,水果,3,99.0,2024-10-26,297
614,23,电器,5,49.0,2024-06-08,245
995,49,食品,5,53.0,2024-11-21,265
571,49,水果,9,3.0,2024-10-11,27
31,66,电器,8,41.0,2024-07-30,328
446,38,电器,8,47.0,2024-12-11,376
294,79,电器,5,60.0,2024-10-19,300
296,70,百货,8,66.0,2024-08-11,528
681,91,食品,9,74.0,2024-12-16,666
942,65,水果,7,81.0,2024-08-26,567
644,60,食品,6,9.0,2025-01-24,54
14,58,服装,5,88.0,2024-11-19,440
404,86,水果,10,47.0,2024-05-13,470
385,95,家具,3,48.0,2024-09-07,144
197,73,服装,1,72.0,2024-11-08,72
567,100,电器,5,79.0,2024-04-17,395
424,26,服装,2,4.0,2024-12-01,8
955,26,电器,9,40.0,2024-06-22,360
772,80,水果,3,3.0,2024-06-07,9
186,21,家具,4,48.0,2024-09-23,192
497,26,百货,7,19.0,2024-09-10,133
237,54,食品,6,1.0,2024-08-04,6
739,84,水果,6,35.0,2024-08-07,210
775,47,服装,1,36.0,2024-12-20,36
916,52,水果,3,10.0,2024-03-28,30
862,9,食品,9,1.0,2024-09-18,9
132,30,水果,4,11.0,2025-01-10,44
582,3,百货,4,84.0,2024-02-12,336
737,97,百货,4,50.0,2024-07-13,200
424,59,服装,9,90.0,2024-04-12,810
125,17,水果,8,24.0,2025-01-15,192
668,22,服装,7,61.0,2024-07-18,427
351,98,食品,1,50.0,2024-08-09,50
626,90,电器,7,49.0,2024-05-15,343
515,90,水果,1,26.0,2024-09-22,26
453,6,水果,5,8.0,2024-03-25,40
87,67,食品,4,82.0,2024-11-16,328
832,18,家具,2,45.0,2024-06-20,90
391,57,家具,7,11.0,2024-09-13,77
890,55,服装,6,39.0,2024-04-01,234
49,48,家具,2,97.0,2024-11-03,194
343,97,食品,9,26.0,2024-12-25,234
338,94,水果,1,50.0,2024-09-04,50
880,91,服装,3,48.0,2024-05-19,144
447,53,水果,5,8.0,2024-12-21,40
734,49,百货,9,37.0,2024-03-03,333
634,15,服装,3,47.0,2024-02-17,141
581,35,百货,7,58.0,2024-06-10,406
366,8,百货,6,52.0,2024-10-19,312
167,73,电器,4,54.0,2024-09-16,216
944,22,水果,1,54.0,2024-04-15,54
464,12,百货,1,95.0,2024-05-10,95
144,63,家具,2,23.0,2024-08-28,46
742,74,家具,9,54.0,2024-08-30,486
80,16,电器,2,21.0,2024-02-28,42
265,41,百货,5,33.0,2025-02-08,165
753,4,百货,6,37.0,2024-08-17,222
215,33,食品,7,43.0,2024-12-31,301
999,33,水果,4,70.0,2024-06-11,280
321,61,食品,10,69.0,2024-04-13,690
379,42,百货,8,24.0,2024-04-01,192
789,86,家具,2,75.0,2024-09-26,150
452,1,电器,10,6.0,2024-03-16,60
23,13,水果,4,48.0,2024-08-30,192
181,5,百货,6,65.0,2024-09-03,390
853,77,食品,6,79.0,2024-10-08,474
925,8,食品,4,44.0,2024-04-24,176
834,73,家具,7,83.0,2025-01-10,581
983,36,水果,9,58.0,2024-09-28,522
529,16,家具,4,51.0,2024-03-18,204
157,47,家具,5,15.0,2024-06-15,75
950,7,水果,7,82.0,2024-03-10,574
84,45,食品,10,60.0,2025-01-30,600
341,26,电器,1,97.0,2024-06-16,97
69,11,食品,7,72.0,2024-11-15,504
277,41,水果,5,48.0,2024-07-31,240
930,25,服装,4,30.0,2024-08-29,120
640,67,电器,1,16.0,2024-12-24,16
978,33,家具,8,9.0,2024-09-10,72
476,8,百货,8,18.0,2024-02-21,144
582,14,服装,1,20.0,2024-04-28,20
339,96,百货,10,33.0,2025-01-06,330
259,68,百货,2,93.0,2024-06-23,186
537,17,服装,7,55.0,2024-03-13,385
295,7,服装,3,65.0,2024-07-09,195
394,98,电器,7,22.0,2024-04-07,154
59,48,电器,7,33.0,2024-07-14,231
757,55,服装,10,100.0,2024-09-12,1000
157,63,水果,2,22.0,2025-01-17,44
108,54,电器,9,68.0,2024-08-29,612
27,6,食品,5,81.0,2024-09-27,405
921,66,百货,8,26.0,2024-04-02,208
986,94,百货,7,6.0,2025-01-26,42
562,27,食品,9,68.0,2024-02-13,612
192,5,家具,9,94.0,2024-09-09,846
106,81,服装,9,85.0,2024-09-30,765
393,16,食品,2,22.0,2024-08-26,44
915,63,电器,1,94.0,2024-04-25,94
715,2,家具,9,27.0,2024-03-16,243
558,9,水果,3,70.0,2025-01-27,210
979,51,水果,4,8.0,2025-01-13,32
379,64,电器,6,29.0,2024-05-10,174
12,11,电器,2,84.0,2024-12-03,168
986,13,百货,10,77.0,2025-02-04,770
293,71,电器,2,10.0,2024-05-14,20
729,90,百货,2,62.0,2024-12-10,124
922,64,百货,6,48.0,2024-09-26,288
270,50,家具,7,11.0,2025-01-13,77
979,76,电器,1,75.0,2024-03-30,75
519,68,服装,7,22.0,2024-03-30,154
696,93,服装,7,40.0,2024-06-30,280
550,41,服装,1,32.0,2024-04-09,32
560,12,电器,9,90.0,2024-10-13,810
264,39,食品,3,79.0,2024-09-30,237
931,91,电器,9,81.0,2024-10-06,729
873,83,食品,3,80.0,2024-10-12,240
643,99,家具,1,88.0,2024-07-02,88
926,33,服装,6,68.0,2024-09-24,408
245,58,电器,10,34.0,2025-01-08,340
857,37,服装,5,75.0,2024-07-27,375
85,19,电器,3,16.0,2024-04-30,48
689,94,服装,4,6.0,2024-07-13,24
635,10,百货,7,94.0,2024-11-15,658
884,33,食品,7,68.0,2024-12-31,476
308,77,食品,4,32.0,2024-10-15,128
65,100,服装,4,76.0,2024-09-12,304
703,42,服装,5,8.0,2024-10-01,40
34,64,水果,2,89.0,2024-09-11,178
142,16,水果,9,83.0,2024-12-22,747
625,17,水果,6,37.0,2024-08-17,222
543,96,百货,10,56.0,2024-10-19,560
545,16,家具,2,20.0,2024-10-12,40
802,6,食品,9,7.0,2024-09-22,63
642,71,服装,4,38.0,2024-07-23,152
886,32,家具,10,3.0,2024-06-06,30
234,74,水果,6,99.0,2024-11-29,594
639,56,电器,10,16.0,2024-04-07,160
921,97,水果,8,28.0,2024-06-20,224
198,44,百货,10,29.0,2024-04-14,290
744,78,家具,1,57.0,2024-12-18,57
310,92,家具,10,99.0,2024-05-01,990
354,8,家具,1,13.0,2024-08-11,13
348,67,家具,3,59.0,2024-07-10,177
12,71,食品,5,77.0,2024-11-11,385
337,40,家具,5,66.0,2024-12-06,330
854,100,电器,10,37.0,2024-03-13,370
437,73,百货,9,5.0,2024-02-13,45
875,49,食品,2,79.0,2024-04-22,158
98,60,食品,7,11.0,2025-01-08,77
272,49,家具,3,5.0,2024-10-19,15
152,77,水果,1,20.0,2024-03-20,20
314,26,百货,9,30.0,2024-04-10,270
815,38,家具,4,92.0,2024-09-25,368
681,66,电器,2,7.0,2024-11-09,14
187,59,电器,2,90.0,2024-07-01,180
505,1,水果,9,64.0,2025-01-30,576
574,50,电器,5,20.0,2024-10-18,100
677,42,水果,4,57.0,2024-08-03,228
561,41,服装,8,4.0,2024-08-23,32
348,83,水果,8,48.0,2024-07-23,384
41,48,服装,9,91.0,2024-03-14,819
405,77,百货,2,8.0,2024-09-15,16
837,12,食品,7,69.0,2024-09-07,483
290,54,家具,3,43.0,2024-02-21,129
705,32,食品,4,26.0,2024-06-28,104
261,36,百货,1,54.0,2024-03-04,54
240,46,水果,6,90.0,2024-10-10,540
320,67,电器,9,42.0,2024-07-28,378
170,76,电器,9,31.0,2025-01-04,279
255,49,家具,10,58.0,2024-06-20,580
261,72,水果,7,72.0,2024-05-26,504
746,66,百货,8,14.0,2024-09-12,112
693,33,百货,9,94.0,2024-08-26,846
546,51,食品,10,55.0,2025-01-29,550
298,95,家具,6,54.0,2024-07-20,324
738,42,水果,9,46.0,2024-12-01,414
198,87,电器,6,73.0,2024-12-18,438
982,47,服装,1,81.0,2024-04-27,81
275,42,电器,6,25.0,2024-05-07,150
970,5,食品,1,8.0,2024-03-17,8
185,70,电器,6,6.0,2025-01-10,36
57,1,水果,3,65.0,2024-07-21,195
133,31,食品,3,21.0,2024-12-31,63
895,34,百货,1,52.0,2025-01-30,52
339,91,电器,9,24.0,2024-10-01,216
525,74,家具,2,91.0,2024-12-19,182
573,77,家具,5,65.0,2024-02-26,325
59,64,百货,2,17.0,2025-01-21,34
888,65,百货,9,54.0,2024-11-19,486
900,84,百货,4,6.0,2024-08-26,24
349,48,水果,3,42.0,2024-06-02,126
858,13,家具,4,82.0,2024-05-25,328
455,22,百货,1,97.0,2024-03-03,97
988,81,水果,3,33.0,2024-02-23,99
847,100,食品,6,67.0,2024-09-10,402
708,96,百货,4,12.0,2024-04-17,48
56,28,服装,5,95.0,2025-01-09,475
64,46,百货,10,100.0,2024-11-02,1000
381,12,百货,10,100.0,2025-01-02,1000
326,97,家具,9,100.0,2024-09-14,900
788,63,百货,3,11.0,2024-08-28,33
47,27,水果,7,14.0,2024-04-21,98
442,29,食品,9,7.0,2025-01-12,63
237,22,服装,10,25.0,2024-08-23,250
150,56,服装,4,66.0,2024-08-30,264
283,76,电器,8,90.0,2025-01-06,720
857,33,食品,7,6.0,2024-07-30,42
366,90,食品,9,100.0,2024-04-17,900
796,49,服装,9,41.0,2024-12-02,369
832,87,水果,3,69.0,2024-06-24,207
652,17,家具,10,6.0,2024-12-02,60
363,66,食品,3,40.0,2024-09-14,120
684,33,电器,4,81.0,2024-07-07,324
402,6,家具,4,98.0,2024-05-27,392
301,10,电器,1,91.0,2024-07-31,91
208,59,家具,4,30.0,2024-03-09,120
291,5,百货,9,1.0,2024-07-20,9
295,56,服装,9,47.0,2024-05-01,423
959,93,服装,4,68.0,2024-04-13,272
632,46,电器,5,50.0,2024-03-24,250
58,29,水果,9,71.0,2025-02-02,639
476,57,服装,10,18.0,2024-04-11,180
132,62,食品,6,84.0,2024-04-22,504
860,57,家具,4,69.0,2024-05-25,276
362,45,食品,4,80.0,2024-11-24,320
636,17,家具,10,86.0,2024-06-09,860
79,60,百货,10,92.0,2024-05-01,920
866,9,水果,6,17.0,2024-09-24,102
723,78,水果,10,17.0,2024-05-08,170
533,26,家具,2,9.0,2024-09-30,18
890,70,家具,1,60.0,2024-04-24,60
409,64,电器,9,75.0,2024-05-07,675
3,14,食品,3,36.0,2024-12-13,108
727,62,水果,9,46.0,2024-10-25,414
52,55,家具,7,65.0,2025-01-14,455
746,9,百货,2,34.0,2024-10-09,68
324,97,服装,5,42.0,2024-09-26,210
475,70,电器,7,6.0,2024-03-30,42
477,98,电器,1,68.0,2024-08-21,68
686,21,水果,8,33.0,2024-07-31,264
526,8,服装,6,71.0,2024-07-01,426
603,18,电器,1,3.0,2024-12-25,3
890,40,服装,1,35.0,2025-01-09,35
286,10,食品,2,94.0,2024-08-28,188
889,79,水果,2,35.0,2024-10-27,70
285,83,百货,3,35.0,2024-09-01,105
131,98,水果,1,66.0,2024-02-20,66
586,22,食品,5,92.0,2024-03-23,460
978,96,百货,8,57.0,2024-03-25,456
712,2,家具,1,79.0,2024-02-16,79
418,39,家具,3,10.0,2024-07-07,30
792,43,电器,6,7.0,2024-02-16,42
68,8,服装,2,34.0,2024-03-13,68
536,45,家具,8,67.0,2024-04-25,536
642,33,百货,1,31.0,2024-02-15,31
555,42,水果,10,79.0,2025-02-03,790
900,78,水果,8,81.0,2024-03-29,648
279,8,服装,8,44.0,2024-07-19,352
393,3,家具,2,75.0,2024-02-13,150
643,29,水果,8,64.0,2024-07-13,512
677,12,食品,8,42.0,2025-02-04,336
816,6,食品,3,75.0,2024-04-06,225
841,66,电器,2,70.0,2025-01-07,140
821,57,百货,7,57.0,2024-11-09,399
718,22,水果,3,62.0,2024-03-03,186
781,32,家具,2,76.0,2024-09-13,152
494,76,百货,1,12.0,2024-08-01,12
605,20,食品,2,5.0,2024-10-29,10
444,30,百货,8,64.0,2024-05-28,512
684,81,百货,3,20.0,2024-09-18,60
43,80,食品,3,75.0,2024-08-07,225
865,55,服装,3,49.0,2024-12-26,147
21,11,百货,6,98.0,2025-02-04,588
345,29,食品,1,36.0,2024-04-20,36
871,98,家具,5,97.0,2024-04-07,485
471,49,食品,7,43.0,2024-12-11,301
819,93,家具,8,35.0,2025-01-22,280
231,95,家具,8,60.0,2024-06-12,480
311,71,百货,5,54.0,2024-11-12,270
402,90,服装,8,36.0,2024-11-19,288
959,42,百货,8,15.0,2024-08-26,120
391,67,食品,8,13.0,2024-09-15,104
330,65,百货,6,47.0,2024-05-13,282
877,75,家具,4,1.0,2025-01-17,4
890,66,家具,1,55.0,2024-06-04,55
113,90,食品,3,31.0,2024-06-05,93
782,31,家具,2,47.0,2024-09-07,94
687,86,服装,4,38.0,2024-06-25,152
268,3,水果,8,98.0,2024-05-17,784
482,99,电器,7,42.0,2024-05-19,294
610,74,食品,3,93.0,2024-11-26,279
41,43,家具,10,5.0,2024-08-24,50
153,11,百货,5,88.0,2024-06-26,440
467,68,百货,3,83.0,2024-09-22,249
507,27,水果,1,4.0,2024-10-13,4
398,87,水果,8,61.0,2024-10-20,488
138,26,水果,4,86.0,2024-02-22,344
955,50,家具,3,12.0,2024-09-20,36
210,40,食品,4,4.0,2025-01-21,16
1,43,服装,4,5.0,2024-08-01,20
522,67,食品,6,67.0,2024-07-17,402
786,35,服装,4,10.0,2024-06-12,40
62,14,家具,4,53.0,2024-02-17,212
760,62,百货,1,88.0,2024-04-20,88
186,29,百货,9,43.0,2024-04-18,387
631,52,百货,5,23.0,2024-05-02,115
18,6,电器,9,52.0,2025-01-15,468
81,75,水果,10,63.0,2024-07-25,630
360,17,水果,3,1.0,2024-05-25,3
993,33,食品,8,34.0,2024-04-24,272
514,63,家具,10,43.0,2024-08-21,430
386,19,食品,8,51.0,2024-08-21,408
179,62,百货,2,31.0,2024-08-03,62
277,89,百货,6,33.0,2024-11-20,198
398,93,服装,1,3.0,2024-10-06,3
791,36,电器,5,65.0,2024-11-24,325
700,16,百货,5,48.0,2024-11-11,240
490,39,水果,9,76.0,2024-12-09,684
852,77,水果,10,40.0,2024-03-08,400
886,75,百货,5,57.0,2024-04-01,285
109,45,电器,6,56.0,2024-05-12,336
75,78,百货,9,94.0,2024-10-16,846
37,21,电器,4,26.0,2024-12-27,104
201,12,家具,10,90.0,2024-03-26,900
4,66,电器,9,54.0,2024-10-23,486
682,15,服装,10,17.0,2024-03-30,170
976,12,水果,5,70.0,2024-06-10,350
116,85,服装,7,28.0,2024-11-10,196
433,99,百货,1,46.0,2024-11-22,46
486,96,服装,8,53.0,2024-12-04,424
559,39,家具,6,78.0,2024-11-24,468
568,3,电器,4,59.0,2024-11-30,236
239,76,水果,3,62.0,2024-09-12,186
36,86,服装,9,60.0,2024-12-30,540
232,77,家具,1,13.0,2024-03-19,13
16,73,百货,5,93.0,2024-08-26,465
97,51,水果,7,53.0,2024-04-15,371
836,95,服装,2,2.0,2024-06-06,4
20,33,服装,5,24.0,2024-05-12,120
993,24,食品,10,31.0,2024-07-21,310
107,76,食品,6,87.0,2025-01-19,522
663,8,服装,9,42.0,2024-12-06,378
892,58,服装,1,56.0,2024-02-24,56
46,52,服装,3,83.0,2024-08-15,249
574,96,服装,9,40.0,2025-01-28,360
545,96,家具,8,8.0,2024-05-08,64
924,44,家具,5,92.0,2024-12-01,460
159,1,食品,1,97.0,2024-03-29,97
237,32,家具,10,51.0,2024-02-18,510
769,30,水果,2,98.0,2024-07-26,196
437,14,电器,9,51.0,2024-12-12,459
86,48,百货,3,14.0,2024-07-31,42
450,89,百货,5,81.0,2024-11-28,405
544,32,水果,8,92.0,2024-08-31,736
917,37,电器,5,49.0,2024-12-11,245
742,68,服装,2,27.0,2024-12-22,54
993,18,家具,3,20.0,2024-05-27,60
435,65,食品,7,78.0,2024-06-25,546
794,60,水果,8,13.0,2024-02-22,104
62,2,家具,3,59.0,2024-07-30,177
970,55,电器,3,15.0,2024-10-14,45
501,58,服装,9,41.0,2024-02-18,369
320,38,电器,9,63.0,2024-07-04,567
527,8,电器,10,78.0,2024-07-23,780
185,87,服装,3,29.0,2024-03-31,87
921,28,食品,6,31.0,2024-03-28,186
920,44,水果,10,99.0,2024-05-28,990
13,54,百货,4,29.0,2025-02-09,116
152,3,水果,6,60.0,2024-03-05,360
489,94,电器,3,59.0,2024-11-07,177
586,52,百货,2,82.0,2024-05-12,164
915,34,食品,8,76.0,2024-11-17,608
235,72,服装,10,27.0,2024-03-08,270
207,22,水果,1,30.0,2024-05-27,30
1,80,家具,10,92.0,2024-10-12,920
893,49,食品,5,29.0,2025-01-09,145
900,8,家具,4,1.0,2024-09-03,4
116,1,百货,4,44.0,2024-12-25,176
823,53,食品,7,12.0,2024-04-02,84
397,12,百货,8,69.0,2024-05-30,552
416,93,食品,9,85.0,2024-09-07,765
24,3,服装,8,8.0,2024-03-27,64
446,12,服装,1,97.0,2024-12-08,97
510,91,百货,2,20.0,2024-11-01,40
986,27,食品,1,42.0,2024-03-04,42
874,11,水果,1,42.0,2024-11-28,42
200,69,食品,6,49.0,2024-08-30,294
499,69,家具,2,27.0,2024-10-08,54
448,60,水果,10,9.0,2025-02-03,90
787,80,水果,10,83.0,2024-03-26,830
503,27,电器,8,66.0,2024-05-31,528
676,98,百货,6,27.0,2024-03-31,162
607,14,水果,2,34.0,2024-06-27,68
21,72,服装,8,92.0,2024-12-09,736
736,15,食品,1,10.0,2024-07-25,10
139,45,电器,10,34.0,2024-12-06,340
331,63,食品,3,60.0,2024-05-17,180
945,70,服装,10,57.0,2024-05-22,570
482,83,百货,9,87.0,2024-09-17,783
431,67,家具,7,92.0,2024-05-26,644
644,75,水果,10,26.0,2025-01-05,260
832,11,电器,5,27.0,2024-02-11,135
907,62,水果,9,57.0,2024-08-27,513
679,91,服装,4,51.0,2024-05-25,204
204,24,水果,3,27.0,2024-02-19,81
236,12,百货,7,12.0,2024-07-01,84
982,99,电器,4,97.0,2024-03-14,388
833,84,食品,8,85.0,2024-11-14,680
511,21,家具,6,84.0,2024-09-30,504
909,36,百货,5,5.0,2024-09-06,25
91,79,百货,5,2.0,2025-01-24,10
100,71,家具,1,38.0,2025-01-13,38
833,1,水果,7,65.0,2025-02-06,455
138,45,百货,1,9.0,2024-11-12,9
414,79,水果,9,52.0,2024-12-10,468
688,77,食品,1,37.0,2024-05-25,37
213,16,百货,9,83.0,2024-09-09,747
964,30,家具,5,77.0,2024-02-13,385
227,35,家具,4,36.0,2024-04-11,144
620,80,水果,9,54.0,2024-06-08,486
